landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Brause Realty,141 West 36th Street,"141 West 36th Street, New York, NY","Located in Midtown South, 141 West 36th Street boasts a timelessly modern lobby, 24×7 access and an array of tenants including fashion, technology, furniture and accessory companies. This 22-story building has loft-like spaces, drenched in sunlight, eco-friendly lighting, modern bathrooms, kitchen areas and wood flooring. Partial floors range from 1,000 to 3,266 rentable square feet and full floors of 6,533 rentable square feet. Tenants can enjoy the 2 nd floor, B Hive, a stunning tenant amenity space which features a lounge, conference space and a ping pong table. With easy walks to Penn Station and Grand Central Terminal, the building is in close proximity to the 34th St.- Herald Square B, D, F, M, N, Q, R subway lines, Penn Station 1, 2, 3, A, C, E subway lines, LIRR, NJ Transit, Amtrak and Path trains.",Office,Available — contact for space details,,Upon request,Leasing,Melissa Brause Rackoff,,212.697.5454,https://brauserealty.com/141-west-36th-street/,2026-07-22T21:28:33Z,,40.752021,-73.9885,https://brauserealty.com/wp-content/uploads/2024/09/141West36th_7425-HDR.jpg
Brause Realty,21 West 38th Street,"21 West 38th Street, New York, NY","This boutique midtown property is located just west of Murray Hill and east of the Fashion Center, with nearby neighbors including The New York Public Library, Bryant Park and Amazon’s recently renovated offices in the former Lord & Taylor building. The neighborhood also boasts many boutique hotels including the new Hotel Hendricks located next door. The area is a transportation hub, with Grand Central Terminal, Penn Station, and the Port Authority Bus Terminal all within a short walk. 21 West 38th Street features recently upgraded elevators and full floor tenant spaces consisting 4,465 rentable square feet. The building is in close proximity to 34th St.- Herald Square B, D, F, M, N, Q, R subway lines, Grand Central Terminal, Penn Station 1, 2, 3, A, C, E subway lines, LIRR, NJ Transit, Amtrak and Path trains.",Office,Available — contact for space details,,Upon request,Leasing,Roberta Brause,,212.697.5454,https://brauserealty.com/21-west-38th-street/,2026-07-22T21:28:39Z,,40.751721,-73.983955,https://brauserealty.com/wp-content/uploads/2024/09/CA1_7855-Pano.jpg
Brause Realty,254 West 31st Street,"254 West 31st Street, New York, NY","254 West 31st Street ushers in a new era of timeless modernity after undergoing a multi-million dollar upgrade to its facade, lobby, elevators and sidewalk in 2017. The double-story attended lobby allows tenants and visitors 24 hour/7 day per week access. Located directly across the street from Penn Station and Madison Square Garden, 254 West 31 st Street is in the heart of the Hudson Yards, Manhattan West and Penn District redevelopments. This 15 story office building is filled with a wide array of tenants, from technology and entertainment businesses to healthcare professionals and non-profits. Each tenant has the luxury of an entire floor to themselves. Floors range from 3,069 – 5,240 rentable square feet. The building is located in close proximity to Penn Station with access to the 1, 2, 3, A, C, E subway lines, LIRR, NJ Transit, Amtrak and Path trains.",Office,Available — contact for space details,,Upon request,Leasing,Melissa Brause Rackoff,,212.697.5454,https://brauserealty.com/254-west-31st-street/,2026-07-22T21:28:44Z,,40.749875,-73.994438,https://brauserealty.com/wp-content/uploads/2024/09/CA1_7213-HDR.jpg
Brause Realty,320 Fifth Avenue,"320 Fifth Avenue, New York, NY","320 Fifth Avenue offers a wide array of distinctive, flexible office and showroom spaces to accommodate both large and small tenants. Built in 1904, 320 Fifth Avenue is a 12-story office building offering full floors that range from 9,275 to 10,748 rentable square feet with divisions of 700 to 6,000 rentable square feet available. Located on 5th Avenue and 32nd St. in the SoFi district, the building is a must visit for accessory, handbag and textile buyers. Tenants share an address with the new restaurant, Prince Tea House. 320 Fifth Avenue offers convenient access to the 34th St.- Herald Square B, D, F, M, N, Q, R subway lines, Penn Station 1, 2, 3, A, C, E subway lines, LIRR, NJ Transit, Amtrak, and PATH trains.",Office,Available — contact for space details,,Upon request,Leasing,Melissa Brause Rackoff,,212.697.5454,https://brauserealty.com/320-fifth-avenue/,2026-07-22T21:28:50Z,,40.747492,-73.985719,https://brauserealty.com/wp-content/uploads/2024/09/320_FifthAve.jpg
Brause Realty,330 East 59th Street,"330 East 59th Street, New York, NY","330 East 59th Street is an 8-story loft building featuring floor-to-ceiling windows, 13 foot exposed ceilings, and full-floor identity with typical floor sizes of 5,037 rentable square feet. The building is located just two blocks from the 59th St. 4, 5, 6, N, Q, R subway lines. This 1940s building hosts upscale companies in the interior design industry and boasts remarkable views of the Queensboro Bridge.",Office,Available — contact for space details,,Upon request,Leasing,David Brause,,212.697.5454,https://brauserealty.com/330-east-59th-street/,2026-07-22T21:28:52Z,,40.75984,-73.963068,https://brauserealty.com/wp-content/uploads/2024/09/31_330-e-59th-street-43.jpg
Brause Realty,37 West 39th Street,"37 West 39th Street, New York, NY","37 West 39th Street is a 12-story office, showroom and retail building that was built in 1912. It is architecturally significant as the facade, designed by Frederick C. Zobel, features a combination of marble, concrete, brick, steel and decorative terra-cotta stone work. The NYC Landmarks Preservation Committee in 2011 designated the building as a special landmark for its history as the headquarters for Haskin & Sells, the first major accounting firm in the United States. 37 West 39th Street is conveniently located in close proximity to the Times Square-42nd St. 1, 2, 3, 7, N, Q, R, S subway lines, 42nd St.- Bryant Park B, D, F, M subway lines, Port Authority, Grand Central and Penn Station.",Office,Available — contact for space details,,Upon request,Leasing,Roberta Brause,,212.697.5454,https://brauserealty.com/37-west-39th-street/,2026-07-22T21:28:55Z,,40.752611,-73.984144,https://brauserealty.com/wp-content/uploads/2024/09/CA1_7982_2.jpg
Brause Realty,37 Union Square West,"37 Union Square West, New York, NY","Strategically located adjacent to two other Brause Realty properties, 37 Union Square West is a 6 story, 25,200 square foot building built in 1921. Typical floors offer 4,500 rentable square feet with high ceilings, abundant natural light and majestic views of Union Square Park and the Greenmarket. 37 Union Square West is situated in the dynamic Union Square neighborhood, the area abounds with museums, art galleries, retail and world-class authentic dining. The building is conveniently located steps from the 4, 5, 6, L, N, Q, R, W trains.",Office,Available — contact for space details,,Upon request,Leasing,David Brause,,212.697.5454,https://brauserealty.com/37-west-39th-street-2/,2026-07-22T21:28:58Z,,40.737011,-73.990848,https://brauserealty.com/wp-content/uploads/2024/11/Screen-Shot-2025-01-08-at-11.55.57-AM.png
Brause Realty,41 Union Square West,"41 Union Square West, New York, NY","41 Union Square West is a 19th century boutique loft building is filled with creative tenants, including fine artists, interior designers, and yoga studios. The building has 17 floors with sizes ranging from 2,000- 10,000 square feet. Located in the dynamic Union Square neighborhood, the area abounds with museums, art galleries, retail and world-class authentic dining. 41 Union Square West is currently undergoing a major capital improvement program including: upgrading lighting and appearance of the hallways, and improving the life safety systems in the building. The main lobby was restored in 2000, bringing back to life its gilded ceiling and mosaic flooring. Additionally, in 2006, the elevators were completely modernized and upgraded with marble interiors and state-of-the-art technology.",Office,Available — contact for space details,,Upon request,Leasing,David Brause,,212.697.5454,https://brauserealty.com/41-union-square-west/,2026-07-22T21:29:04Z,,40.737193,-73.990834,https://brauserealty.com/wp-content/uploads/2024/09/41UnionSquareWest.jpg
Brause Realty,52 Vanderbilt Avenue,"52 Vanderbilt Avenue, New York, NY","52 Vanderbilt is a 21-story office building located at the southwest corner of 45th Street and Vanderbilt Avenue. This metropolitan building is as refined as it is convenient, providing direct interior access to Grand Central Terminal. The building’s brand new amenity center, Club Fifty-Two is now open featuring a tenant lounge and conference facility. Available suites range from high-end furnished pre-builts to full floor pre-built and build-to-suit opportunities ranging from 776 to 9,275 rentable square feet. The building features abundant natural light, operable windows and tenant-controlled air conditioning and an onsite restaurant. 52 Vanderbilt is conveniently located steps from Grand Central, One Vanderbilt, Pershing Square and Bryant Park with direct access to the 4, 5, 6, 7, S, LIRR and Metro North trains. The building is one stop from the N, Q, R, F, M, B, D trains. Nearby dining includes Ammos (located in the building), Oyster Bar, Le Pavillion, Urbanspace, The Campbell Bar among others.",Office,Available — contact for space details,,Upon request,Leasing,Melissa Brause Rackoff,,212.697.5454,https://brauserealty.com/52-vanderbilt-avenue/,2026-07-22T21:29:09Z,,40.754265,-73.977349,https://brauserealty.com/wp-content/uploads/2024/09/MA_414478.jpg
Brause Realty,88-36 77th Avenue,"88-36 77th Avenue, New York, NY","Industrial building, occupied by CDL Last Mile Solutions, with state of the art solar roofing which powers occupant and neighbors. Anchor Tenant: Bowe Industries Inc.",Office,Available — contact for space details,,Upon request,Leasing,David Brause,,212.697.5454,https://brauserealty.com/88-36-77th-avenue/,2026-07-22T21:29:14Z,,40.706875,-73.860099,https://brauserealty.com/wp-content/uploads/2024/09/2ACEB247-0D87-4459-AD7D-8E09C3EC3A1B-2.jpg
