landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Two Trees Management,Ten Grand,"10 Grand St, Brooklyn, NY","Suite 12-B is a unique, small space opportunity on the waterfront in Williamsburg Brooklyn. The space is built with a glass fronted conference room, open work area for 20+ workstations and an open style kitchen/wet pantry with high end residential grade finishes. The space features two (2) sides of floor to ceiling windows producing tremendous natural light and views. Hardwood floors, high/exposed ceiling and LED pendant lighting. Full amenity building with tenant amenity floor, shared conference rooms, outdoor space, fitness center, bicycle parking and rooftop cabanas.",Office,Suite 12-B,2698,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.71616,-73.96649999999998,https://assets.nestiostatic.com/unit_photos/originals/063d7b157468c9733641f26d52da6b54.jpg?s=aaeb0e392f5b0189912a57582f992927
Two Trees Management,Ten Grand,"10 Grand St, Brooklyn, NY","The 13th floor offers a half-floor identity at 10 Grand Street. The space boasts floor-to-ceiling windows and sweeping views of Manhattan and the Williamsburg waterfront. Built with one (1) glass-fronted conference room and one (1) glass-fronted office, with open area seating for ~20 people. The space features a high-end pantry with residential-grade finishes, hardwood floors, and tremendous natural light.",Office,Suite 13B,2698,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.71616,-73.96649999999998,https://assets.nestiostatic.com/unit_photos/originals/9de65ef8e8b02bfde0f97902f622075b.jpg?s=efbbda6f603517fa8e3c649721774e89
Two Trees Management,Ten Grand,"10 Grand St, Brooklyn, NY","This 7th-floor offers a rare full-floor identity at 10 Grand Street. The space boasts floor-to-ceiling windows and sweeping views of Manhattan and the Williamsburg waterfront. Built with five (5) glass-fronted offices and two (2) large conference rooms, with open area seating for 40+ people. The space features a high-end pantry with residential-grade finishes, hardwood floors, and tremendous natural light. Ten Grand Street offers an entirely unique perspective on the modern office, located on Williamsburg’s waterfront overlooking Domino Park. The building was designed by world-renowned architecture firm COOKFOX and the two amenity floors offer everything one could hope for in a modern office. The 17,000 square feet of gracious sun-lit space includes a work lounge, private conference rooms, a fitness center complete with locker rooms and showers, a screening theater, outdoor terrace space and rooftop cabanas.",Office,Suite 700,6083,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.71616,-73.96649999999998,https://assets.nestiostatic.com/unit_photos/originals/10e35e5be9cf16e7f2f72e480e79dfd7.jpg?s=ede4c98e6015331b02b52f5f44bee3a6
Two Trees Management,20 Jay Street,"20 Jay Street, Brooklyn, NY","Suite 202 is a bright prebuilt with one (1) glass-fronted office/conference room and a pantry. Views of the water and bridge, original hardwood floors, and high exposed ceilings. One of Two Trees’ most in-demand locations, 20 Jay Street is just steps away from Brooklyn Bridge Park and the iconic archways that gave DUMBO its name. This neo-classical building offers a variety of office spaces amidst the creative energy fostered by our tenants.",Office,Suite 202,1678,Upon request,Leasing,Elizabeth Bueno,ebueno@twotreesny.com,718-222-2506,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.7041,-73.9867,https://assets.nestiostatic.com/unit_photos/originals/7a8dff2c42cc7c02fa9455dfed4296bf.jpg?s=66a1f1381e0ef4dd16b98ec6bd7f4f2b
Two Trees Management,20 Jay Street,"20 Jay Street, Brooklyn, NY","Suite 632 is built with a wet pantry, hardwood floors, and a high exposed ceiling. Great light in this unit!",Office,Suite 632,1466,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.7041,-73.9867,https://assets.nestiostatic.com/unit_photos/originals/b0f4f548a2aad0ae5c91889507af0c7d.jpg?s=34a7e7430d82f8f602b163d966931338
Two Trees Management,20 Jay Street,"20 Jay Street, Brooklyn, NY","Great, bright space with two (2) meeting rooms and a pantry.",Office,Suite 848,2669,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.7041,-73.9867,https://assets.nestiostatic.com/unit_photos/originals/104156ab0d52d6af45b1efc1d178c0e9.jpg?s=f208cec3151d5a36af6237538fbd5ed1
Two Trees Management,The Refinery at Domino,"300 Kent Ave, Brooklyn, NY",Suite 1001 is a bright unit with water and bridge views. Built with two (2) private offices and three (3) conference rooms. There is a high-end pantry and open seating area for 35 employees. Glass fronts on all rooms and hardwood floors throughout.,Office,Suite 1001,5560,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.714465100932934,-73.9670613,https://assets.nestiostatic.com/building_medias/full/d57af2b4bf932e33a03a10936034b481.jpg?s=a3cae3ad8aef87ddc2912c2cc2bd8bc8
Two Trees Management,The Refinery at Domino,"300 Kent Ave, Brooklyn, NY","Fully prebuilt 31,000 RSF office with an efficient design and layout, ready for immediate move-in. Floor-to-ceiling glass windows with unobstructed Manhattan and river views. Custom raised platform conference room with stadium seating. The space is built with one (1) boardroom, four (4) large conference rooms, five (5) medium huddle rooms, ten (10) offices/meeting rooms, two (2) high-end pantries. There are concrete and oak floors throughout the floor with exposed 12' 6"" ceilings.",Office,Suite 12TH FLOOR,31414,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.714465100932934,-73.9670613,https://assets.nestiostatic.com/unit_photos/originals/41b35cf87b32f4ac4bcc8d01ce6f995b.jpg?s=99cc356e9dbb2d83c620c0992eeeaf85
Two Trees Management,The Refinery at Domino,"300 Kent Ave, Brooklyn, NY","Built with two (2) glass-fronted conference rooms, one (1) glass-fronted office, and open seating for 8-12 people. The space has a high-end pantry with wood floors and exposed 13'6"" ceilings.",Office,Suite 509,2874,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.714465100932934,-73.9670613,https://assets.nestiostatic.com/unit_photos/originals/eed30d7713819481a2ae92d12bc64dc6.jpg?s=7734d3a7e13ffd47c6c95d5472ad4b79
Two Trees Management,The Refinery at Domino,"300 Kent Ave, Brooklyn, NY",Suite 609 is built with two (2) private offices and one (1) conference room. There are also two (2) phone booth rooms conveniently built within the space. There is a high-end pantry and open seating area for around 25 employees. Glass fronts on all rooms and hardwood floors throughout.,Office,Suite 609,3000,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.714465100932934,-73.9670613,https://assets.nestiostatic.com/unit_photos/originals/d137a4e5b26228a5a9ef975f25159ab3.jpg?s=9b90a36c9c6239c7d3c9dc96adb279a7
Two Trees Management,The Refinery at Domino,"300 Kent Ave, Brooklyn, NY","Suite 704 has water-facing views with one (1) conference room, two (2) offices, and open seating for up to 24 people. With high-end pantry, wood floors and exposed 13'6"" ceilings.",Office,Suite 704,2850,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.714465100932934,-73.9670613,https://assets.nestiostatic.com/unit_photos/originals/7d5bef00191ce9ff246cf7634fffd652.jpg?s=a0b9f84a9227153eab637268c5d7a60a
Two Trees Management,The Refinery at Domino,"300 Kent Ave, Brooklyn, NY","Suite 802 is furnished and offers water and bridge views with two (2) private offices, and one (1) conference room. High-end pantry and open seating area for 24 employees. Glass fronts on all rooms and hardwood floors throughout. IT room and closet built out.",Office,Suite 802,2750,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,Williamsburg,40.714465100932934,-73.9670613,https://assets.nestiostatic.com/unit_photos/originals/76374707d940363029ba143517cf5b87.jpg?s=f1223295a701c91243d0b8aca4c5b046
Two Trees Management,45 Main Street,"45 Main Street, Brooklyn, NY","This corner unit features two (2) sides of light, three (3) glass-fronted offices, two (2) glass-fronted conference rooms, private restrooms and shower, and storage closets. The pantry features all-new fixtures and island seating. There is open seating for 20+ people.",Office,Suite 242,6205,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.70278,-73.99058999999998,https://assets.nestiostatic.com/unit_photos/originals/0b132b1e93e609c2edaedb020dc808b6.jpg?s=4e70d6823b9a8491c9042b61e0efc2c2
Two Trees Management,45 Main Street,"45 Main Street, Brooklyn, NY","Suite 314 is a brand new pre-built space on a newly constructed floor. The space is built with three (3) glass fronted offices/meeting rooms, open work area and a wet pantry. High/exposed ceiling, polished concrete floor, LED pendant lighting and tenant controlled central A/C. Shared conference rooms on the floor for Tenant use",Office,Suite 314,2911,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.70278,-73.99058999999998,https://assets.nestiostatic.com/unit_photos/originals/4052dc7e203ace0cf9db105c1ef8fc83.jpg?s=db03888052aa94a33a50c2629758fa74
Two Trees Management,45 Main Street,"45 Main Street, Brooklyn, NY","Suite 600 is a new prebuilt office with great light. Built with two (2) glass-fronted offices and a light-flooded open area for 15+ people. Wet pantry and closets are also built within the space. LED lighting, high exposed ceilings, and concrete floors throughout.",Office,Suite 600,2219,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.70278,-73.99058999999998,https://assets.nestiostatic.com/unit_photos/originals/13c727064b964862b6976f3208023f70.jpg?s=6706527211af742c205740a9dbe4639c
Two Trees Management,45 Main Street,"45 Main Street, Brooklyn, NY",Suite 602 is a brand-new prebuilt corner office with spectacular views of the Bridge and Water. It features three (3) glass-fronted offices and two (2) glass-fronted conference rooms. High-end wet pantry with closets and open seating for 20+ people. Exposed ceilings and polished concrete floors throughout,Office,Suite 602,4580,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.70278,-73.99058999999998,https://assets.nestiostatic.com/unit_photos/originals/412b54e27056c291556b63e45b180275.jpg?s=a15e5acb8b7b7e9f2a793679597e5659
Two Trees Management,45 Main Street,"45 Main Street, Brooklyn, NY","Suite 632 is a brand-new prebuilt office with great light. It features two (2) glass-fronted offices, one (1) conference room, and one (1) phone room. A high-end wet pantry with closets and open seating for 15+ people. Exposed ceilings and polished concrete floors throughout",Office,Suite 632,3628,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.70278,-73.99058999999998,https://assets.nestiostatic.com/unit_photos/originals/a623c790781a4ecead29584f24d0000c.jpg?s=ed26754de19e47987d52579fbeb78975
Two Trees Management,55 Washington Street,"55 Washington Street, Brooklyn, NY",New bright prebuilt office with bridge views. Built with three (3) glass-fronted offices/meeting rooms and an open area for 10+ people. LED lighting throughout with a wet pantry. The space has high exposed ceilings and concrete floors.,Office,Suite 724,2625,Upon request,Leasing,Elizabeth Bueno,ebueno@twotreesny.com,718-222-2506,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.70279,-73.98947,https://assets.nestiostatic.com/unit_photos/originals/8ffa13ba319cac280d055a76231569fe.jpg?s=408a4000d469fbe4348423c3ecfa9d7d
Two Trees Management,55 Washington Street,"55 Washington Street, Brooklyn, NY",Pre-built unit on a newly constructed floor with one (1) glass-fronted meeting room. Open space with a wet pantry. New building standard finished. Bright and light-filled space with exposed ceilings and concrete floors,Office,Suite 808,1146,Upon request,Leasing,Two Trees Commercial,,718-222-2500,https://www.twotreesny.com/office-spaces,2026-07-22T19:23:48Z,DUMBO,40.70279,-73.98947,https://assets.nestiostatic.com/unit_photos/originals/8f8f1c2230bd3949c00a9cce241de45b.jpg?s=c65ae5a1d5b2da8e3971c73e34a7de77
