landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Brookfield Properties,218 West 57th Street,"218 West 57th Street, 218 W 57th St # 220, New York, New York, 10019-3200, US","218–220 West 57th Street offers a unique opportunity to be a part of New York City's elegant past and a changemaker in its dynamic future. Perfectly situated in a thriving neighborhood among Columbus Circle's booming retail corridor, 218–220 West 57th Street is positioned directly across from New York City's flagship Nordstrom and two blocks from Central Park and The Shops at Columbus Circle. The neighborhood is surrounded by the elite residential developments of Billionaires' Row and is central to some of New York's most vibrant cultural and entertainment destinations.",Retail,,,,Retail Leasing,Kirsten Lee,Kirsten.Lee@ggp.com,+13104184424,https://www.brookfieldproperties.com/en/our-properties/218-west-57th-street-39/,2026-07-21T17:04:15Z,,40.765737,-73.981201,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/DPPJQ73KKBE37CTORTWMZV7OCQ.jpeg
Brookfield Properties,300 Madison Avenue,"300 Madison Avenue, 300 Madison Ave, New York, New York, 10017-6232, US","300 Madison is a 36-story office building convenient to major transportation, the Theater district, and a full range of shopping, dining, and hotels.",Office,,,,Office Leasing,David Caperna,david.caperna@brookfieldproperties.com,212.417.7147,https://www.brookfieldproperties.com/en/our-properties/300-madison-avenue-58/,2026-07-21T17:04:17Z,,40.75265,-73.98003,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/LIMAFI3C2RHVHFLVVMOW47RIAY.jpg
Brookfield Properties,660 Fifth Avenue,"660 Fifth Avenue, 660 Fifth Ave, New York, New York, 10103, US","660 Fifth Avenue (formerly 666 Fifth Avenue) is a progressive 39-story office building, offering 1.25M square feet of commercial space and recently underwent a $400M redevelopment. The stunning new facade is reclad in 11x19 feet single-pane glass units, making them the largest ever used on a redevelopment in New York City. A brand new lobby, elevators, and upgraded infrastructure make 660 Fifth Avenue the clear choice for business.",Office,"Entire floor 5, Suite 505",67771,Upon request,Office Leasing,Daniel Roberts,daniel.roberts@brookfieldproperties.com,212.618.3425,https://www.brookfieldproperties.com/en/our-properties/660-fifth-avenue-116/,2026-07-21T17:04:19Z,,40.760457,-73.976199,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/TMEWW462P5EBDJVX7WTNW4TZZE.jpg
Brookfield Properties,660 Fifth Avenue,"660 Fifth Avenue, 660 Fifth Ave, New York, New York, 10103, US","660 Fifth Avenue (formerly 666 Fifth Avenue) is a progressive 39-story office building, offering 1.25M square feet of commercial space and recently underwent a $400M redevelopment. The stunning new facade is reclad in 11x19 feet single-pane glass units, making them the largest ever used on a redevelopment in New York City. A brand new lobby, elevators, and upgraded infrastructure make 660 Fifth Avenue the clear choice for business.",Office,"Entire floor 6, Suite 607",79303,Upon request,Office Leasing,Daniel Roberts,daniel.roberts@brookfieldproperties.com,212.618.3425,https://www.brookfieldproperties.com/en/our-properties/660-fifth-avenue-116/,2026-07-21T17:04:19Z,,40.760457,-73.976199,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/TMEWW462P5EBDJVX7WTNW4TZZE.jpg
Brookfield Properties,685 Fifth Avenue,"685 Fifth Avenue, 685 5th Ave, New York, New York, 10022-4223, US","685 Fifth Avenue is situated in a prime location on the famed Fifth Avenue retail corridor. At home on the southeast corner of East 54th Street in the heart of the Plaza District, this prestigious urban property offers retailers and advertisers some of the strongest branding opportunities in the country.",Retail,,,,Retail Leasing,Kirsten Lee,Kirsten.Lee@ggp.com,+13104184424,https://www.brookfieldproperties.com/en/our-properties/685-fifth-avenue-118/,2026-07-21T17:04:21Z,,40.760793,-73.975213,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/D4YOK4R4INCVFI47GT2BDZQASE.jpeg
Brookfield Properties,Brookfield Place - 200 Liberty Street,"Brookfield Place - 200 Liberty Street, 200 Liberty St, New York, New York, 10281-1003, US","200 Liberty Street is the Southernmost tower of the Cesar Pelli designed Brookfield Place, home to luxury retail, dining, public space, and world-class amenities. The 40-story building offers 180 degree views of New York harbor and convenient commuter access. Brookfield Place New York is one of the most iconic placemaking destinations in the world, bringing together modern office space, cultural experiences, curated dining, and world-class shopping. The 14-acre commercial complex on the Hudson River in Lower Manhattan is animated year-round by Arts Brookfield, providing visitors ever-changing experiences, from art installations and live music, to dining, shopping, and more. The 200 Liberty Street lobby recently completed a renovation and modernization, marking the final phase in a multi-million dollar, large-scale redevelopment of Brookfield Place.",Office,"Entire floor 4, Suite 401",79166,Upon request,Office Leasing,Mikael Nahmias,mikael.nahmias@brookfieldproperties.com,917.586.8616,https://www.brookfieldproperties.com/en/our-properties/brookfield-place-200-liberty-street-198/,2026-07-21T17:04:24Z,,40.710645,-74.015555,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/BHVIRVPS4JF3DPMCYVWE2ZETNY.jpg
Brookfield Properties,Brookfield Place - 200 Liberty Street,"Brookfield Place - 200 Liberty Street, 200 Liberty St, New York, New York, 10281-1003, US","200 Liberty Street is the Southernmost tower of the Cesar Pelli designed Brookfield Place, home to luxury retail, dining, public space, and world-class amenities. The 40-story building offers 180 degree views of New York harbor and convenient commuter access. Brookfield Place New York is one of the most iconic placemaking destinations in the world, bringing together modern office space, cultural experiences, curated dining, and world-class shopping. The 14-acre commercial complex on the Hudson River in Lower Manhattan is animated year-round by Arts Brookfield, providing visitors ever-changing experiences, from art installations and live music, to dining, shopping, and more. The 200 Liberty Street lobby recently completed a renovation and modernization, marking the final phase in a multi-million dollar, large-scale redevelopment of Brookfield Place.",Office,"Entire floor 29, Suite 2901",29364,Upon request,Office Leasing,Mikael Nahmias,mikael.nahmias@brookfieldproperties.com,917.586.8616,https://www.brookfieldproperties.com/en/our-properties/brookfield-place-200-liberty-street-198/,2026-07-21T17:04:24Z,,40.710645,-74.015555,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/BHVIRVPS4JF3DPMCYVWE2ZETNY.jpg
Brookfield Properties,Brookfield Place - 200 Vesey Street,"Brookfield Place - 200 Vesey Street, 200 Vesey St, New York, New York, 10281-1013, US","200 Vesey Street is a 53-story building located along the Hudson River waterfront at Brookfield Place. Brookfield Place is home to luxury retail, dining, extensive public space, and world-class amenities. Brookfield Place New York is one of the most iconic placemaking destinations in the world, bringing together modern office space, cultural experiences, curated dining, and world-class shopping. The 14-acre commercial complex on the Hudson River in Lower Manhattan is animated year-round by Arts Brookfield, providing visitors ever-changing experiences, from art installations and live music to dining, shopping, and more.",Office,"Partial floor 4, Suite 401",22022,Upon request,Office Leasing,Mikael Nahmias,mikael.nahmias@brookfieldproperties.com,917.586.8616,https://www.brookfieldproperties.com/en/our-properties/brookfield-place-200-vesey-street-199/,2026-07-21T17:04:27Z,,40.71392,-74.01469,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/NK4F4CIG4VFD7I4SG7S2FDL33Y.jpg
Brookfield Properties,Brookfield Place - 200 Vesey Street,"Brookfield Place - 200 Vesey Street, 200 Vesey St, New York, New York, 10281-1013, US","200 Vesey Street is a 53-story building located along the Hudson River waterfront at Brookfield Place. Brookfield Place is home to luxury retail, dining, extensive public space, and world-class amenities. Brookfield Place New York is one of the most iconic placemaking destinations in the world, bringing together modern office space, cultural experiences, curated dining, and world-class shopping. The 14-acre commercial complex on the Hudson River in Lower Manhattan is animated year-round by Arts Brookfield, providing visitors ever-changing experiences, from art installations and live music to dining, shopping, and more.",Office,"Entire floor 15, Suite 1501",54217,Upon request,Office Leasing,Mikael Nahmias,mikael.nahmias@brookfieldproperties.com,917.586.8616,https://www.brookfieldproperties.com/en/our-properties/brookfield-place-200-vesey-street-199/,2026-07-21T17:04:27Z,,40.71392,-74.01469,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/NK4F4CIG4VFD7I4SG7S2FDL33Y.jpg
Brookfield Properties,Brookfield Place - 200 Vesey Street,"Brookfield Place - 200 Vesey Street, 200 Vesey St, New York, New York, 10281-1013, US","200 Vesey Street is a 53-story building located along the Hudson River waterfront at Brookfield Place. Brookfield Place is home to luxury retail, dining, extensive public space, and world-class amenities. Brookfield Place New York is one of the most iconic placemaking destinations in the world, bringing together modern office space, cultural experiences, curated dining, and world-class shopping. The 14-acre commercial complex on the Hudson River in Lower Manhattan is animated year-round by Arts Brookfield, providing visitors ever-changing experiences, from art installations and live music to dining, shopping, and more.",Office,"Entire floor 21, Suite 2101",54991,Upon request,Office Leasing,Mikael Nahmias,mikael.nahmias@brookfieldproperties.com,917.586.8616,https://www.brookfieldproperties.com/en/our-properties/brookfield-place-200-vesey-street-199/,2026-07-21T17:04:27Z,,40.71392,-74.01469,https://cloudfront-us-east-1.images.arcpublishing.com/brookfieldproperties/NK4F4CIG4VFD7I4SG7S2FDL33Y.jpg
