landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Time Equities,1152 First Ave,"1152 First Ave, New York, NY 10065",Corner; near @ 63rd St; 75'++ Glass Frontage,Retail,Corner,1908,Upon request,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/1152-first-ave-1908-rsf-prime-restaurant-corner,2026-07-22T19:28:47Z,,40.762101,-73.95979,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/1152-First-Ave-October-2025.jpg
Time Equities,129 East 82nd Street,"129 East 82nd Street, New York, NY 10028",near East 82nd St; 8' +,Retail,Space,275,$131/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/1210-lexington-ave-steps-from-corner-of-82nd-st,2026-07-22T19:28:53Z,,40.777165,-73.957543,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/1210-LEX.jpg
Time Equities,125 Maiden Lane,"125 Maiden Lane, New York, NY 10038",R5; near On Maiden between Pearl and Water Streets; 13',Retail,R5,622,$145/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/125-maiden-lane-adj-to-building-lobby,2026-07-22T19:28:59Z,,40.706608,-74.006247,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/IMG_2080.jpg
Time Equities,125 Maiden Lane,"125 Maiden Lane, New York, NY 10038","Ground Floor; near Between Water and Pearl Sts; 36' 9"" Glass Frontage",Retail,Ground Floor,1356,$145/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/125-maiden-lane-1356-rsf-built-out-non-vented-kitchen-no-key,2026-07-22T19:29:00Z,,40.706608,-74.006247,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/Sweetcatch-Adj.jpg
Time Equities,125 Maiden Lane,"125 Maiden Lane, New York, NY 10038",Ground Floor; near Water Street; 99' Glass Frontage,Retail,Ground Floor,2490,$150/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/125-maiden-lane-2490-rsf-corner,2026-07-22T19:29:02Z,,40.706608,-74.006247,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/125-Maiden-T-Mobile-Corner.jpg
Time Equities,125 Maiden Lane,"125 Maiden Lane, New York, NY 10038",Ground Floor; near Water Street; 135' Glass Frontage Wrapping Corner - 95' + On Maiden Lane 41' on Water St,Retail,Ground Floor,3846,$150/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/125-maiden-lane-3846-rsf-corner,2026-07-22T19:29:04Z,,40.706608,-74.006247,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/NY-Susan_Taylor-004-16m.jpg
Time Equities,146 East 56th St.,"146 East 56th St., New York, NY 10022",Entire Buildlng; near Between Lexington and Third Aves; 40,Retail,Entire Buildlng,16181,$85/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/midtown-east-146-e-56th-st-entire-3-5-story-building-with-branding-rights,2026-07-22T19:29:09Z,,40.759803,-73.969125,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/146E56.jpg
Time Equities,200 West 84th St.,"200 West 84th St., New York, NY 10024",Former Dry Cleaner; near Amsterdam Ave,Retail,Former Dry Cleaner,700,$90/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/200-west-84th-st-700-rsf,2026-07-22T19:29:15Z,,40.786402,-73.976351,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/Jana-200-W-84th-via-text.jpeg
Time Equities,323-327 West 11th St,"323-327 West 11th St, New York, NY 10014",323 West 11th Ground; near Greenwich St; 11',Retail,323 West 11th Ground,650,$148/SF,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/323-west-11th-st-gallery,2026-07-22T19:29:22Z,,40.735819,-74.007577,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/323-W-11th-Gallery.jpg
Time Equities,521-525 Hudson St.,"521-525 Hudson St., New York, NY, 10014 United States","525; near West 10th St; 10' 6""",Retail,525,479,Upon request,Leasing,National Retail,retail@timeequities.com,(212) 206-6171,https://timeequities.com/availabilities/525-hudson-479-sf-vented,2026-07-22T19:29:28Z,,40.734069,-74.006566,https://s3.us-east-1.amazonaws.com/timeequities.com-prod-storage/images/_xlarge/image1_2025-10-11-152745.jpeg
