landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Tishman Speyer,11 West 42nd Street,"11 West 42nd Street, New York, NY","In Midtown Manhattan, timeless elegance and ample natural light fill this versatile space that sits in the center of the city's magic. Here, you'll find the inspiration for both work and life in abundance.",Office,Available — contact for space details,,Upon request,,,,,https://www.tishmanspeyer.com/properties/new-york/11-west-42nd-street,2026-07-28T13:51:48Z,,40.754299,-73.98185,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-staging/003dbfa9404f7606ad77a544ae20705dc155d671-953x1199.jpg
Tishman Speyer,148 Lafayette,"148 Lafayette, New York, NY","At the intersection of Lafayette Street, 148 Lafayette rises twelve stories at the corner of one of New York’s most dynamic neighborhoods. Its architecture is informed by the area’s historic buildings, while expansive ceiling heights bring in abundant natural light. The building is rooted in the creative vitality of its iconic surroundings.",Office,Available — contact for space details,,Upon request,Leasing,Samantha Augarten,SAugarte@TishmanSpeyer.com,212.588.8569,https://www.tishmanspeyer.com/properties/new-york/148-lafayette,2026-07-28T13:51:50Z,,40.71969,-73.99988,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-prod/ee823403e5b6d3e1378fe04c99acd5044320c321-3857x4800.png
Tishman Speyer,175 Varick Street,"175 Varick Street, New York, NY","This boutique office space is a classic piece of architectural history that boasts stunning façade renovations and oversized windows, filling each space with natural light. Located in vibrant Hudson Square, forward thinking and creative companies will flourish here.",Office,Available — contact for space details,,Upon request,Leasing,Samantha Augarten,SAugarte@TishmanSpeyer.com,212.588.8569,https://www.tishmanspeyer.com/properties/new-york/175-varick,2026-07-28T13:51:51Z,,40.72755,-74.00604,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-staging/f7498b10fbd3639670904b24876d820d2c1a7d4e-976x1200.jpg
Tishman Speyer,300 Park Avenue,"300 Park Avenue, New York, NY","Discover the perfect union of office space and location at this sleek and modern building, located just a 5-block walk from Grand Central Station. Here you'll find leasing options that fit your business needs, and amenities and hospitality that will help you make every day excellent.",Office,Available — contact for space details,,Upon request,Leasing,Samantha Augarten,SAugarte@TishmanSpeyer.com,212.588.8569,https://www.tishmanspeyer.com/properties/new-york/300-park,2026-07-28T13:51:53Z,,40.7570209,-73.9746695,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-staging/b7de75ec30f27ddd6378e7c5f3589472d0ded415-4912x7360.jpg
Tishman Speyer,520 Madison,"520 Madison, New York, NY","520 Madison Avenue stands at the center of Midtown, where its location creates a refined setting for leading businesses. The building features refined workspaces alongside a curated collection of on-site retail. Surrounded by cultural institutions and New York landmarks, it places companies within one of the city’s most connected corridors and supports growth on a global scale.",Office,Available — contact for space details,,Upon request,Leasing,Megan Sheehan,MSheehan@TishmanSpeyer.com,212.715.0122,https://www.tishmanspeyer.com/properties/new-york/520-madison,2026-07-28T13:51:54Z,,40.76038,-73.97458,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-prod/0047186db87e6daa8aad92b7ed9f7a81e1a3b9af-5461x8192.jpg
Tishman Speyer,6 Grand Central,"6 Grand Central, New York, NY","With direct access to Grand Central Station and a beautifully refreshed lobby, 6 Grand Central offers maximum convenience and a warm welcome. The renovated lobby, modernized pre-builds and full-floor opportunities allow businesses the flexibility they need to thrive.",Office,Available — contact for space details,,Upon request,Leasing,Samantha Augarten,SAugarte@TishmanSpeyer.com,212.588.8569,https://www.tishmanspeyer.com/properties/new-york/6-grand-central-,2026-07-28T13:51:56Z,,40.7514062607583,-73.97463019014633,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-staging/19d906ef740e1a4ec5af5f6a140fb3ea5fee5d13-5058x8034.jpg
Tishman Speyer,CitySpire,"CitySpire, New York, NY","Located on the edge of Central Park, CitySpire's fresh renovations, including a stunning lobby and an on-site Studio, are all designed to enhance your Manhattan lifestyle and work-life experience.",Office,Available — contact for space details,,Upon request,Leasing,Samantha Augarten,SAugarte@TishmanSpeyer.com,212.588.8569,https://www.tishmanspeyer.com/properties/new-york/cityspire,2026-07-28T13:51:58Z,,40.764713595471,-73.97994980330479,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-staging/0db56d2bd65cc22144383c7bfda8456091dec38f-795x799.jpg
Tishman Speyer,Morgan North,"Morgan North, New York, NY","Morgan North is where life, work and nature harmonize. With its expansive skylights, green spaces, and a two-acre private rooftop park, every detail is designed to elevate the daily experience and transform your workday.",Office,Available — contact for space details,,Upon request,,,,,https://www.tishmanspeyer.com/properties/new-york/morgan-north,2026-07-28T13:51:59Z,,40.7511591,-73.999801,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-staging/d66818ff62a8278e1d5cfc87d9129cce5535ca4a-5472x3648.jpg
Tishman Speyer,Rockefeller Center,"Rockefeller Center, New York, NY","Rockefeller Center is the best of New York, reinvented daily. Around every corner is an opportunity to discover the unexpected, make meaningful connections, and experience the best views, food, and community in the city. It is where community and creativity collide.",Office,Available — contact for space details,,Upon request,Leasing,Blythe Kinsler,BKinsler@tishmanspeyer.com,212.588.8623,https://www.tishmanspeyer.com/properties/new-york/rockefeller-center,2026-07-28T13:52:01Z,,40.758965357677866,-73.97866846936834,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-staging/c6415ded4a4b294e53b40802aa5d39fe237b9638-6707x5373.jpg
Tishman Speyer,The JACX,"The JACX, New York, NY","Thought leadership thrives in this indoor-outdoor design concept. Smoothly integrating industrial-era charm with modernity, this space offers a landscaped terrace, modern amenities, spectacular views and breathtaking design, creating a one-of-a-kind workplace destination.",Office,Available — contact for space details,,Upon request,Leasing,Megan Sheehan,MSheehan@TishmanSpeyer.com,212.715.0122,https://www.tishmanspeyer.com/properties/new-york/the-jacx,2026-07-28T13:52:02Z,,40.74888175636991,-73.93869726131138,https://cdn.sanity.io/images/bs9rmafh/tishman-corporate-prod/945bf8aa448871fb71ddc31e3b70b37ef7d9abce-2636x2000.jpg
