landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng
Vornado Realty Trust,1290 Avenue Of The Americas,1290 Avenue Of The Americas,"Standing 43 stories high and encompassing 2 million square feet, this quintessential American skyscraper is centrally located at the heart of Midtown Manhattan, adjacent to Rockefeller Center and the iconic Radio City Music Hall. The building's infrastructure has been fully modernized, achieving LEED Gold certification. Vornado also completed a total lobby and triple-height glass curtain-wall entrance redevelopment to punctuate the building's significant Corporate Row presence. Visit Property Website Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 1290 Avenue of the Americas Brochure",Office,ENTIRE 6TH FLOOR,105952,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/1290-avenue-of-the-americas/3311697/landing,2026-07-20T11:52:26Z,,40.7608,-73.97958
Vornado Realty Trust,1290 Avenue Of The Americas,1290 Avenue Of The Americas,"Standing 43 stories high and encompassing 2 million square feet, this quintessential American skyscraper is centrally located at the heart of Midtown Manhattan, adjacent to Rockefeller Center and the iconic Radio City Music Hall. The building's infrastructure has been fully modernized, achieving LEED Gold certification. Vornado also completed a total lobby and triple-height glass curtain-wall entrance redevelopment to punctuate the building's significant Corporate Row presence. Visit Property Website Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 1290 Avenue of the Americas Brochure",Office,ENTIRE 7TH FLOOR,100459,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/1290-avenue-of-the-americas/3311697/landing,2026-07-20T11:52:26Z,,40.7608,-73.97958
Vornado Realty Trust,1290 Avenue Of The Americas,1290 Avenue Of The Americas,"Standing 43 stories high and encompassing 2 million square feet, this quintessential American skyscraper is centrally located at the heart of Midtown Manhattan, adjacent to Rockefeller Center and the iconic Radio City Music Hall. The building's infrastructure has been fully modernized, achieving LEED Gold certification. Vornado also completed a total lobby and triple-height glass curtain-wall entrance redevelopment to punctuate the building's significant Corporate Row presence. Visit Property Website Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 1290 Avenue of the Americas Brochure",Office,PARTIAL 8TH FLOOR,32923,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/1290-avenue-of-the-americas/3311697/landing,2026-07-20T11:52:26Z,,40.7608,-73.97958
Vornado Realty Trust,888 Seventh Avenue,888 Seventh Avenue,"Adjacent to Carnegie Hall and steps from Columbus Circle, Central Park and the Ritz Carlton Hotel, 888 Seventh Avenue offers magnificent views of the Park and the Manhattan skyline. Serving as Vornado Realty Trust's headquarters, the building features an expansive lobby and plaza areas to create a dynamic modern entrance. Tenants and surrounding neighbors enjoy popular dining destinations Red Eye Grill and Brooklyn Diner. Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 888 Seventh Avenue Office Brochure",Office,PARTIAL 3RD FLOOR,15484,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/888-seventh-avenue/3311695/landing,2026-07-20T11:52:27Z,,40.76495,-73.980553
Vornado Realty Trust,888 Seventh Avenue,888 Seventh Avenue,"Adjacent to Carnegie Hall and steps from Columbus Circle, Central Park and the Ritz Carlton Hotel, 888 Seventh Avenue offers magnificent views of the Park and the Manhattan skyline. Serving as Vornado Realty Trust's headquarters, the building features an expansive lobby and plaza areas to create a dynamic modern entrance. Tenants and surrounding neighbors enjoy popular dining destinations Red Eye Grill and Brooklyn Diner. Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 888 Seventh Avenue Office Brochure",Office,PARTIAL 6TH FLOOR,6643,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/888-seventh-avenue/3311695/landing,2026-07-20T11:52:27Z,,40.76495,-73.980553
Vornado Realty Trust,888 Seventh Avenue,888 Seventh Avenue,"Adjacent to Carnegie Hall and steps from Columbus Circle, Central Park and the Ritz Carlton Hotel, 888 Seventh Avenue offers magnificent views of the Park and the Manhattan skyline. Serving as Vornado Realty Trust's headquarters, the building features an expansive lobby and plaza areas to create a dynamic modern entrance. Tenants and surrounding neighbors enjoy popular dining destinations Red Eye Grill and Brooklyn Diner. Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 888 Seventh Avenue Office Brochure",Office,PARTIAL 10TH FLOOR,4151,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/888-seventh-avenue/3311695/landing,2026-07-20T11:52:27Z,,40.76495,-73.980553
Vornado Realty Trust,888 Seventh Avenue,888 Seventh Avenue,"Adjacent to Carnegie Hall and steps from Columbus Circle, Central Park and the Ritz Carlton Hotel, 888 Seventh Avenue offers magnificent views of the Park and the Manhattan skyline. Serving as Vornado Realty Trust's headquarters, the building features an expansive lobby and plaza areas to create a dynamic modern entrance. Tenants and surrounding neighbors enjoy popular dining destinations Red Eye Grill and Brooklyn Diner. Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 888 Seventh Avenue Office Brochure",Office,PARTIAL 15TH FLOOR,13481,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/888-seventh-avenue/3311695/landing,2026-07-20T11:52:27Z,,40.76495,-73.980553
Vornado Realty Trust,888 Seventh Avenue,888 Seventh Avenue,"Adjacent to Carnegie Hall and steps from Columbus Circle, Central Park and the Ritz Carlton Hotel, 888 Seventh Avenue offers magnificent views of the Park and the Manhattan skyline. Serving as Vornado Realty Trust's headquarters, the building features an expansive lobby and plaza areas to create a dynamic modern entrance. Tenants and surrounding neighbors enjoy popular dining destinations Red Eye Grill and Brooklyn Diner. Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 888 Seventh Avenue Office Brochure",Office,PARTIAL 16TH FLOOR,9282,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/888-seventh-avenue/3311695/landing,2026-07-20T11:52:27Z,,40.76495,-73.980553
Vornado Realty Trust,888 Seventh Avenue,888 Seventh Avenue,"Adjacent to Carnegie Hall and steps from Columbus Circle, Central Park and the Ritz Carlton Hotel, 888 Seventh Avenue offers magnificent views of the Park and the Manhattan skyline. Serving as Vornado Realty Trust's headquarters, the building features an expansive lobby and plaza areas to create a dynamic modern entrance. Tenants and surrounding neighbors enjoy popular dining destinations Red Eye Grill and Brooklyn Diner. Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 888 Seventh Avenue Office Brochure",Office,PARTIAL 16TH FLOOR,2896,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/888-seventh-avenue/3311695/landing,2026-07-20T11:52:27Z,,40.76495,-73.980553
Vornado Realty Trust,888 Seventh Avenue,888 Seventh Avenue,"Adjacent to Carnegie Hall and steps from Columbus Circle, Central Park and the Ritz Carlton Hotel, 888 Seventh Avenue offers magnificent views of the Park and the Manhattan skyline. Serving as Vornado Realty Trust's headquarters, the building features an expansive lobby and plaza areas to create a dynamic modern entrance. Tenants and surrounding neighbors enjoy popular dining destinations Red Eye Grill and Brooklyn Diner. Share the link by email Explore the Area Sustainability Fact Sheet (PDF) Property Brochure (PDF) 888 Seventh Avenue Office Brochure",Office,PARTIAL 21ST FLOOR,6782,Upon request,Leasing,"Senior Vice President, Leasing 212.894.7923",eriguardi@vno.com,,https://www.vno.com/office/property/888-seventh-avenue/3311695/landing,2026-07-20T11:52:27Z,,40.76495,-73.980553
