landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng
SL Green,10 East 53rd Street,10 East 53rd Street,"Situated between Fifth Avenue and Madison Avenue, 10 East 53rd Street is a boutique trophy asset located in Manhattan’s Plaza District that features unparalleled views of Central Park and the city skyline. The 37-story building underwent a comprehensive redevelopment which included the completion of a new lobby integrated with a dramatic interior arcade, redesigned façade, new plazas with abundant green space, and a world-class art program. A high-end Equinox fitness club, hotel-style concierge services, and efficient side-core floor plates round out the property’s elevated offerings. With access to marquis restaurants such as Le Bernardin, Daniel, and to premiere hotels like the New York Palace and the Waldorf Astoria, 10 East 53rd Street is truly a signature address.",Office,600,4838,,Leasing (SL Green),Gary Rosen,gary.rosen@slgreen.com,(212) 216-1687,https://slgreen.com/properties/10-east-53rd-street/,2026-07-20T16:36:45+00:00,,,
SL Green,10 East 53rd Street,10 East 53rd Street,"Situated between Fifth Avenue and Madison Avenue, 10 East 53rd Street is a boutique trophy asset located in Manhattan’s Plaza District that features unparalleled views of Central Park and the city skyline. The 37-story building underwent a comprehensive redevelopment which included the completion of a new lobby integrated with a dramatic interior arcade, redesigned façade, new plazas with abundant green space, and a world-class art program. A high-end Equinox fitness club, hotel-style concierge services, and efficient side-core floor plates round out the property’s elevated offerings. With access to marquis restaurants such as Le Bernardin, Daniel, and to premiere hotels like the New York Palace and the Waldorf Astoria, 10 East 53rd Street is truly a signature address.",Office,Entire 22nd Floor,8462,,Leasing (SL Green),Gary Rosen,gary.rosen@slgreen.com,(212) 216-1687,https://slgreen.com/properties/10-east-53rd-street/,2026-07-20T16:36:45+00:00,,,
SL Green,10 East 53rd Street,10 East 53rd Street,"Situated between Fifth Avenue and Madison Avenue, 10 East 53rd Street is a boutique trophy asset located in Manhattan’s Plaza District that features unparalleled views of Central Park and the city skyline. The 37-story building underwent a comprehensive redevelopment which included the completion of a new lobby integrated with a dramatic interior arcade, redesigned façade, new plazas with abundant green space, and a world-class art program. A high-end Equinox fitness club, hotel-style concierge services, and efficient side-core floor plates round out the property’s elevated offerings. With access to marquis restaurants such as Le Bernardin, Daniel, and to premiere hotels like the New York Palace and the Waldorf Astoria, 10 East 53rd Street is truly a signature address.",Office,Entire 26th Floor,8925,,Leasing (SL Green),Gary Rosen,gary.rosen@slgreen.com,(212) 216-1687,https://slgreen.com/properties/10-east-53rd-street/,2026-07-20T16:36:45+00:00,,,
SL Green,10 East 53rd Street,10 East 53rd Street,"Situated between Fifth Avenue and Madison Avenue, 10 East 53rd Street is a boutique trophy asset located in Manhattan’s Plaza District that features unparalleled views of Central Park and the city skyline. The 37-story building underwent a comprehensive redevelopment which included the completion of a new lobby integrated with a dramatic interior arcade, redesigned façade, new plazas with abundant green space, and a world-class art program. A high-end Equinox fitness club, hotel-style concierge services, and efficient side-core floor plates round out the property’s elevated offerings. With access to marquis restaurants such as Le Bernardin, Daniel, and to premiere hotels like the New York Palace and the Waldorf Astoria, 10 East 53rd Street is truly a signature address.",Office,Entire 27th Floor,8925,,Leasing (SL Green),Gary Rosen,gary.rosen@slgreen.com,(212) 216-1687,https://slgreen.com/properties/10-east-53rd-street/,2026-07-20T16:36:45+00:00,,,
SL Green,10 East 53rd Street,10 East 53rd Street,"Situated between Fifth Avenue and Madison Avenue, 10 East 53rd Street is a boutique trophy asset located in Manhattan’s Plaza District that features unparalleled views of Central Park and the city skyline. The 37-story building underwent a comprehensive redevelopment which included the completion of a new lobby integrated with a dramatic interior arcade, redesigned façade, new plazas with abundant green space, and a world-class art program. A high-end Equinox fitness club, hotel-style concierge services, and efficient side-core floor plates round out the property’s elevated offerings. With access to marquis restaurants such as Le Bernardin, Daniel, and to premiere hotels like the New York Palace and the Waldorf Astoria, 10 East 53rd Street is truly a signature address.",Office,3000,3674,,Leasing (SL Green),Gary Rosen,gary.rosen@slgreen.com,(212) 216-1687,https://slgreen.com/properties/10-east-53rd-street/,2026-07-20T16:36:45+00:00,,,
SL Green,10 East 53rd Street,10 East 53rd Street,"Situated between Fifth Avenue and Madison Avenue, 10 East 53rd Street is a boutique trophy asset located in Manhattan’s Plaza District that features unparalleled views of Central Park and the city skyline. The 37-story building underwent a comprehensive redevelopment which included the completion of a new lobby integrated with a dramatic interior arcade, redesigned façade, new plazas with abundant green space, and a world-class art program. A high-end Equinox fitness club, hotel-style concierge services, and efficient side-core floor plates round out the property’s elevated offerings. With access to marquis restaurants such as Le Bernardin, Daniel, and to premiere hotels like the New York Palace and the Waldorf Astoria, 10 East 53rd Street is truly a signature address.",Office,3400,6871,,Leasing (SL Green),Gary Rosen,gary.rosen@slgreen.com,(212) 216-1687,https://slgreen.com/properties/10-east-53rd-street/,2026-07-20T16:36:45+00:00,,,
SL Green,10 East 53rd Street,10 East 53rd Street,"Situated between Fifth Avenue and Madison Avenue, 10 East 53rd Street is a boutique trophy asset located in Manhattan’s Plaza District that features unparalleled views of Central Park and the city skyline. The 37-story building underwent a comprehensive redevelopment which included the completion of a new lobby integrated with a dramatic interior arcade, redesigned façade, new plazas with abundant green space, and a world-class art program. A high-end Equinox fitness club, hotel-style concierge services, and efficient side-core floor plates round out the property’s elevated offerings. With access to marquis restaurants such as Le Bernardin, Daniel, and to premiere hotels like the New York Palace and the Waldorf Astoria, 10 East 53rd Street is truly a signature address.",Office,,17850,,Leasing (SL Green),Gary Rosen,gary.rosen@slgreen.com,(212) 216-1687,https://slgreen.com/properties/10-east-53rd-street/,2026-07-20T16:36:45+00:00,,,
SL Green,100 Church Street,100 Church Street,"Constructed in 1958, 100 Church is an early downtown example of the new modern architecture which rose on Park Avenue and other Midtown blocks. One of the first Mid-Century Modern designs by Emery Roth & Sons, successor to the celebrated apartment designer, the building was the first postwar project downtown to fill a block with new construction. In its cubistic treatment, abstract massing and silver-blue façade scheme of alternating aluminum spandrels and navy panels, it illustrates the trend for clean lines based on the newest forms of engineering and technology. 100 Church Street is a block away from City Hall Park, one of New York’s oldest and most charming public spaces. Extensively restored and featuring a fountain dating from 1842, the park was where crowds gathered to hear George Washington read the Declaration of Independence in 1776 and where, in 1827, two days of celebrations marked the abolition of slavery in New York State.",Office,820,4170,,Leasing (SL Green),Steven Durels,steven.durels@slgreen.com,(212) 216-1617,https://slgreen.com/properties/100-church-street/,2026-07-20T16:36:45+00:00,,,
SL Green,100 Church Street,100 Church Street,"Constructed in 1958, 100 Church is an early downtown example of the new modern architecture which rose on Park Avenue and other Midtown blocks. One of the first Mid-Century Modern designs by Emery Roth & Sons, successor to the celebrated apartment designer, the building was the first postwar project downtown to fill a block with new construction. In its cubistic treatment, abstract massing and silver-blue façade scheme of alternating aluminum spandrels and navy panels, it illustrates the trend for clean lines based on the newest forms of engineering and technology. 100 Church Street is a block away from City Hall Park, one of New York’s oldest and most charming public spaces. Extensively restored and featuring a fountain dating from 1842, the park was where crowds gathered to hear George Washington read the Declaration of Independence in 1776 and where, in 1827, two days of celebrations marked the abolition of slavery in New York State.",Office,825,8763,,Leasing (SL Green),Steven Durels,steven.durels@slgreen.com,(212) 216-1617,https://slgreen.com/properties/100-church-street/,2026-07-20T16:36:45+00:00,,,
SL Green,100 Church Street,100 Church Street,"Constructed in 1958, 100 Church is an early downtown example of the new modern architecture which rose on Park Avenue and other Midtown blocks. One of the first Mid-Century Modern designs by Emery Roth & Sons, successor to the celebrated apartment designer, the building was the first postwar project downtown to fill a block with new construction. In its cubistic treatment, abstract massing and silver-blue façade scheme of alternating aluminum spandrels and navy panels, it illustrates the trend for clean lines based on the newest forms of engineering and technology. 100 Church Street is a block away from City Hall Park, one of New York’s oldest and most charming public spaces. Extensively restored and featuring a fountain dating from 1842, the park was where crowds gathered to hear George Washington read the Declaration of Independence in 1776 and where, in 1827, two days of celebrations marked the abolition of slavery in New York State.",Office,910,37258,,Leasing (SL Green),Steven Durels,steven.durels@slgreen.com,(212) 216-1617,https://slgreen.com/properties/100-church-street/,2026-07-20T16:36:45+00:00,,,
SL Green,100 Church Street,100 Church Street,"Constructed in 1958, 100 Church is an early downtown example of the new modern architecture which rose on Park Avenue and other Midtown blocks. One of the first Mid-Century Modern designs by Emery Roth & Sons, successor to the celebrated apartment designer, the building was the first postwar project downtown to fill a block with new construction. In its cubistic treatment, abstract massing and silver-blue façade scheme of alternating aluminum spandrels and navy panels, it illustrates the trend for clean lines based on the newest forms of engineering and technology. 100 Church Street is a block away from City Hall Park, one of New York’s oldest and most charming public spaces. Extensively restored and featuring a fountain dating from 1842, the park was where crowds gathered to hear George Washington read the Declaration of Independence in 1776 and where, in 1827, two days of celebrations marked the abolition of slavery in New York State.",Office,Entire 21st Floor,18087,,Leasing (SL Green),Steven Durels,steven.durels@slgreen.com,(212) 216-1617,https://slgreen.com/properties/100-church-street/,2026-07-20T16:36:45+00:00,,,
SL Green,100 Church Street,100 Church Street,"Constructed in 1958, 100 Church is an early downtown example of the new modern architecture which rose on Park Avenue and other Midtown blocks. One of the first Mid-Century Modern designs by Emery Roth & Sons, successor to the celebrated apartment designer, the building was the first postwar project downtown to fill a block with new construction. In its cubistic treatment, abstract massing and silver-blue façade scheme of alternating aluminum spandrels and navy panels, it illustrates the trend for clean lines based on the newest forms of engineering and technology. 100 Church Street is a block away from City Hall Park, one of New York’s oldest and most charming public spaces. Extensively restored and featuring a fountain dating from 1842, the park was where crowds gathered to hear George Washington read the Declaration of Independence in 1776 and where, in 1827, two days of celebrations marked the abolition of slavery in New York State.",Office,Entire 22nd Floor,12308,,Leasing (SL Green),Steven Durels,steven.durels@slgreen.com,(212) 216-1617,https://slgreen.com/properties/100-church-street/,2026-07-20T16:36:45+00:00,,,
