landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng
The Durst Organization,One World Trade Center,1155 Avenue of the Americas 1133 Avenue,"Column-Free Floor. Highest Leasable Office in Western Hemisphere. 21' Slab-to-Slab Heights. Panoramic Views of Midtown Manhattan. 45,951 SF Block if Leased with Penthouse I.. Home to New York City’s largest TAMI (technology, advertising, media, information) tenant community, One World Trade Center’s state-of-the-art architectural, environmental, and structural design combines with unmatched convenience, ample amenities, and a vibrant neighborhood to inspire innovation, productivity, and success. Well& by Durst on the 64th floor of the iconic tower provides tenants with a space that invigorates, inspires, and fosters connections. This amenity floor features a delectable menu of freshly prepared seasonal meals, exclusive curated events, and state-of-the-art meeting, event, and lounge spaces, all designed to seamlessly facilitate business services",Office,Penthouse II,45951,Upon Request,Inquiry form,,,,https://www.durst.org/properties/one-world-trade-center,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One World Trade Center,1155 Avenue of the Americas 1133 Avenue,"360-Degree NYC Views. Highest Leasable Office in Western Hemisphere. 23' Slab-to-Slab Heights. 45,961 SF Block if Leased with Penthouse II.. Home to New York City’s largest TAMI (technology, advertising, media, information) tenant community, One World Trade Center’s state-of-the-art architectural, environmental, and structural design combines with unmatched convenience, ample amenities, and a vibrant neighborhood to inspire innovation, productivity, and success. Well& by Durst on the 64th floor of the iconic tower provides tenants with a space that invigorates, inspires, and fosters connections. This amenity floor features a delectable menu of freshly prepared seasonal meals, exclusive curated events, and state-of-the-art meeting, event, and lounge spaces, all designed to seamlessly facilitate business services",Office,Penthouse I,45951,Upon Request,Inquiry form,,,,https://www.durst.org/properties/one-world-trade-center,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One World Trade Center,1155 Avenue of the Americas 1133 Avenue,"• Fully Customizable • 13'4"" Slab-to-Slab • Views of NY Harbor and East River. Home to New York City’s largest TAMI (technology, advertising, media, information) tenant community, One World Trade Center’s state-of-the-art architectural, environmental, and structural design combines with unmatched convenience, ample amenities, and a vibrant neighborhood to inspire innovation, productivity, and success. Well& by Durst on the 64th floor of the iconic tower provides tenants with a space that invigorates, inspires, and fosters connections. This amenity floor features a delectable menu of freshly prepared seasonal meals, exclusive curated events, and state-of-the-art meeting, event, and lounge spaces, all designed to seamlessly facilitate business services",Office,Partial Floor 79 D,11033,Upon Request,Inquiry form,,,,https://www.durst.org/properties/one-world-trade-center,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One World Trade Center,1155 Avenue of the Americas 1133 Avenue,"• Available Immediately • Fully Customizable. Home to New York City’s largest TAMI (technology, advertising, media, information) tenant community, One World Trade Center’s state-of-the-art architectural, environmental, and structural design combines with unmatched convenience, ample amenities, and a vibrant neighborhood to inspire innovation, productivity, and success. Well& by Durst on the 64th floor of the iconic tower provides tenants with a space that invigorates, inspires, and fosters connections. This amenity floor features a delectable menu of freshly prepared seasonal meals, exclusive curated events, and state-of-the-art meeting, event, and lounge spaces, all designed to seamlessly facilitate business services",Office,Entire Floor 73,40144,Upon Request,Inquiry form,,,,https://www.durst.org/properties/one-world-trade-center,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One World Trade Center,1155 Avenue of the Americas 1133 Avenue,"• Premium Move-In Ready Office Space • Blended Open and Private Office Layout • Fully Furnished with Knoll Furniture • LED Lighting • Fully Wired (Durst Ready prebuilt). Home to New York City’s largest TAMI (technology, advertising, media, information) tenant community, One World Trade Center’s state-of-the-art architectural, environmental, and structural design combines with unmatched convenience, ample amenities, and a vibrant neighborhood to inspire innovation, productivity, and success. Well& by Durst on the 64th floor of the iconic tower provides tenants with a space that invigorates, inspires, and fosters connections. This amenity floor features a delectable menu of freshly prepared seasonal meals, exclusive curated events, and state-of-the-art meeting, event, and lounge spaces, all designed to seamlessly facilitate business services",Office,Partial Floor 71 J,9499,Upon Request,Inquiry form,,,,https://www.durst.org/properties/one-world-trade-center,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One World Trade Center,1155 Avenue of the Americas 1133 Avenue,"Built Space. Home to New York City’s largest TAMI (technology, advertising, media, information) tenant community, One World Trade Center’s state-of-the-art architectural, environmental, and structural design combines with unmatched convenience, ample amenities, and a vibrant neighborhood to inspire innovation, productivity, and success. Well& by Durst on the 64th floor of the iconic tower provides tenants with a space that invigorates, inspires, and fosters connections. This amenity floor features a delectable menu of freshly prepared seasonal meals, exclusive curated events, and state-of-the-art meeting, event, and lounge spaces, all designed to seamlessly facilitate business services",Office,Partial Floor 46 P,2578,Upon Request,Inquiry form,,,,https://www.durst.org/properties/one-world-trade-center,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One World Trade Center,1155 Avenue of the Americas 1133 Avenue,"Built Space. Arranged Possession.. Home to New York City’s largest TAMI (technology, advertising, media, information) tenant community, One World Trade Center’s state-of-the-art architectural, environmental, and structural design combines with unmatched convenience, ample amenities, and a vibrant neighborhood to inspire innovation, productivity, and success. Well& by Durst on the 64th floor of the iconic tower provides tenants with a space that invigorates, inspires, and fosters connections. This amenity floor features a delectable menu of freshly prepared seasonal meals, exclusive curated events, and state-of-the-art meeting, event, and lounge spaces, all designed to seamlessly facilitate business services",Office,Partial Floor 46C,2556,Upon Request,Inquiry form,,,,https://www.durst.org/properties/one-world-trade-center,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One Five One,1155 Avenue of the Americas 1133 Avenue,"Superb Views of the Midtown West Skyline and Beyond. Boasting dramatic views, excellent natural light, inspiring outdoor terraces, generous ceiling heights, and expansive column-friendly floor plates, One Five One offers unrivaled future-focused workspace in an incomparable location",Office,Entire 25,37768,Upon Request,Inquiry form,,,,https://www.durst.org/properties/One-Five-One,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One Five One,1155 Avenue of the Americas 1133 Avenue,"Boasting dramatic views, excellent natural light, inspiring outdoor terraces, generous ceiling heights, and expansive column-friendly floor plates, One Five One offers unrivaled future-focused workspace in an incomparable location",Office,Partial Floor 24,18747,Upon Request,Inquiry form,,,,https://www.durst.org/properties/One-Five-One,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One Five One,1155 Avenue of the Americas 1133 Avenue,"Boasting dramatic views, excellent natural light, inspiring outdoor terraces, generous ceiling heights, and expansive column-friendly floor plates, One Five One offers unrivaled future-focused workspace in an incomparable location",Office,Partial Floor 22,9638,Upon Request,Inquiry form,,,,https://www.durst.org/properties/One-Five-One,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One Five One,1155 Avenue of the Americas 1133 Avenue,"Completed Whitebox. Bryant Park & 42nd Street Views. 20' Slab-to-Slab Height.. Boasting dramatic views, excellent natural light, inspiring outdoor terraces, generous ceiling heights, and expansive column-friendly floor plates, One Five One offers unrivaled future-focused workspace in an incomparable location",Office,Partial Floor 3,24336,Upon Request,Inquiry form,,,,https://www.durst.org/properties/One-Five-One,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One Five One,1155 Avenue of the Americas 1133 Avenue,"Prime Bow-Tie Retail Opportunity. LED Signage Included. Lower Level Storage / Selling Space Available.. Boasting dramatic views, excellent natural light, inspiring outdoor terraces, generous ceiling heights, and expansive column-friendly floor plates, One Five One offers unrivaled future-focused workspace in an incomparable location",Retail,Partial Ground Floor,40498,Upon Request,Inquiry form,,,,https://www.durst.org/properties/One-Five-One,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,One Five One,1155 Avenue of the Americas 1133 Avenue,"Up to16,956 SF with 1,255 SF of Ground Level Space with 21' of 43rd Street frontage. Ideal for fitness / wellness use. 500K Corporate Employees within a 1/2 Mile Radius.. Boasting dramatic views, excellent natural light, inspiring outdoor terraces, generous ceiling heights, and expansive column-friendly floor plates, One Five One offers unrivaled future-focused workspace in an incomparable location",Retail,Partial Ground Floor - 43rd St,16956,Upon Request,Inquiry form,,,,https://www.durst.org/properties/One-Five-One,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,1155 Avenue of the Americas,1155 Avenue of the Americas 1133 Avenue,"Built Space. Office Intensive Layout.. Refined through a $130 million capital improvement program, 1155 Avenue of the Americas presents signature office opportunities suited to a wide range of tenants, from law firms and private equity funds to visionary tech companies. Standing on the western blockfront of Avenue of the Americas between 44th and 45th Streets, significant architectural enhancements made to the property include a landscaped entry plaza on West 44th Street; dramatic, light-filled lobby with security desks clad back-lit sea glass; turnstile security access; destination dispatch elevator controls; newly appointed elevator cabs; and luminous chamfered corners",Office,Entire Floor 26,16563,Upon Request,Inquiry form,,,,https://www.durst.org/properties/1155-avenue-of-the-americas,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,1155 Avenue of the Americas,1155 Avenue of the Americas 1133 Avenue,"Premium Move-In Ready Office Space. Open Plan Layout. Fully Furnished With Knoll Furniture. Sit/Stand Desks. LED Lighting. Fully Wired. (Durst Ready prebuilt). Refined through a $130 million capital improvement program, 1155 Avenue of the Americas presents signature office opportunities suited to a wide range of tenants, from law firms and private equity funds to visionary tech companies. Standing on the western blockfront of Avenue of the Americas between 44th and 45th Streets, significant architectural enhancements made to the property include a landscaped entry plaza on West 44th Street; dramatic, light-filled lobby with security desks clad back-lit sea glass; turnstile security access; destination dispatch elevator controls; newly appointed elevator cabs; and luminous chamfered corners",Office,Partial 19,4468,Upon Request,Inquiry form,,,,https://www.durst.org/properties/1155-avenue-of-the-americas,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,1155 Avenue of the Americas,1155 Avenue of the Americas 1133 Avenue,"Recently Renovated Prebuilt.. Refined through a $130 million capital improvement program, 1155 Avenue of the Americas presents signature office opportunities suited to a wide range of tenants, from law firms and private equity funds to visionary tech companies. Standing on the western blockfront of Avenue of the Americas between 44th and 45th Streets, significant architectural enhancements made to the property include a landscaped entry plaza on West 44th Street; dramatic, light-filled lobby with security desks clad back-lit sea glass; turnstile security access; destination dispatch elevator controls; newly appointed elevator cabs; and luminous chamfered corners",Office,Partial Floor 18,4429,Upon Request,Inquiry form,,,,https://www.durst.org/properties/1155-avenue-of-the-americas,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,1155 Avenue of the Americas,1155 Avenue of the Americas 1133 Avenue,"Build-to-Suit Opportunity. Available Immediately.. Refined through a $130 million capital improvement program, 1155 Avenue of the Americas presents signature office opportunities suited to a wide range of tenants, from law firms and private equity funds to visionary tech companies. Standing on the western blockfront of Avenue of the Americas between 44th and 45th Streets, significant architectural enhancements made to the property include a landscaped entry plaza on West 44th Street; dramatic, light-filled lobby with security desks clad back-lit sea glass; turnstile security access; destination dispatch elevator controls; newly appointed elevator cabs; and luminous chamfered corners",Office,Partial 3 *,18584,Upon Request,Inquiry form,,,,https://www.durst.org/properties/1155-avenue-of-the-americas,2026-07-20T08:53:18Z,,40.756678,-73.983372
The Durst Organization,1155 Avenue of the Americas,1155 Avenue of the Americas 1133 Avenue,"70' of Prime Avenue of the Americas Frontage. Corner Retail Adjacent to Lobby Entrance. Additional Ground Floor Space Can Be Made Available. Up to 6,000 SF Lower Level Available.. Refined through a $130 million capital improvement program, 1155 Avenue of the Americas presents signature office opportunities suited to a wide range of tenants, from law firms and private equity funds to visionary tech companies. Standing on the western blockfront of Avenue of the Americas between 44th and 45th Streets, significant architectural enhancements made to the property include a landscaped entry plaza on West 44th Street; dramatic, light-filled lobby with security desks clad back-lit sea glass; turnstile security access; destination dispatch elevator controls; newly appointed elevator cabs; and luminous chamfered corners",Retail,Partial Ground Floor Retail,8281,Upon Request,Inquiry form,,,,https://www.durst.org/properties/1155-avenue-of-the-americas,2026-07-20T08:53:18Z,,40.756678,-73.983372
