landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Paramount Group,31 West 52nd Street,31 West 52nd Street,"Designed by Kevin Roche John Dinkeloo & Associates, 31 West 52nd Street is a Class A, twenty-nine-story, approximately 770,000 square foot office tower located between Fifth Avenue and Avenue of the Americas in the heart of Midtown Manhattan. Its newly renovated lobby features an elegant granite-clad and aluminum framed glass curtain wall façade with four-story granite columns at both entrances on 52nd and 53rd Streets. The building’s west façade features a continuous row of 69’ high columns forming a magnificent backdrop to its fully landscaped public plaza which includes a sculpture by well-known artist, Jesus Bautista Morales. Five subway lines are located within three blocks of the property, while numerous luxury hotels, museum (including the MoMa) and upscale retail stores and restaurants surround the building.",Office,Entire Floor 2,26490,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314546,2026-07-22T19:05:46Z,,40.76117,-73.97819,https://cdn-paramount-group.reol.com/paramount_group/img/e942744ad45bd1ea2a423a37ce6128dfad9486d4+720++0/paramountnyc_ewing_3052_copy_362.jpg
Paramount Group,31 West 52nd Street,31 West 52nd Street,"Designed by Kevin Roche John Dinkeloo & Associates, 31 West 52nd Street is a Class A, twenty-nine-story, approximately 770,000 square foot office tower located between Fifth Avenue and Avenue of the Americas in the heart of Midtown Manhattan. Its newly renovated lobby features an elegant granite-clad and aluminum framed glass curtain wall façade with four-story granite columns at both entrances on 52nd and 53rd Streets. The building’s west façade features a continuous row of 69’ high columns forming a magnificent backdrop to its fully landscaped public plaza which includes a sculpture by well-known artist, Jesus Bautista Morales. Five subway lines are located within three blocks of the property, while numerous luxury hotels, museum (including the MoMa) and upscale retail stores and restaurants surround the building.",Office,Entire Floor 3,39808,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314546,2026-07-22T19:05:46Z,,40.76117,-73.97819,https://cdn-paramount-group.reol.com/paramount_group/img/e942744ad45bd1ea2a423a37ce6128dfad9486d4+720++0/paramountnyc_ewing_3052_copy_362.jpg
Paramount Group,31 West 52nd Street,31 West 52nd Street,"Designed by Kevin Roche John Dinkeloo & Associates, 31 West 52nd Street is a Class A, twenty-nine-story, approximately 770,000 square foot office tower located between Fifth Avenue and Avenue of the Americas in the heart of Midtown Manhattan. Its newly renovated lobby features an elegant granite-clad and aluminum framed glass curtain wall façade with four-story granite columns at both entrances on 52nd and 53rd Streets. The building’s west façade features a continuous row of 69’ high columns forming a magnificent backdrop to its fully landscaped public plaza which includes a sculpture by well-known artist, Jesus Bautista Morales. Five subway lines are located within three blocks of the property, while numerous luxury hotels, museum (including the MoMa) and upscale retail stores and restaurants surround the building.",Office,Entire Floor 4,39862,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314546,2026-07-22T19:05:46Z,,40.76117,-73.97819,https://cdn-paramount-group.reol.com/paramount_group/img/e942744ad45bd1ea2a423a37ce6128dfad9486d4+720++0/paramountnyc_ewing_3052_copy_362.jpg
Paramount Group,1301 Avenue of the Americas,1301 Avenue of the Americas,"Designed by world-renowned architectural firm Skidmore, Owings & Merrill, 1301 Avenue of the Americas is a stunning forty-five-story office tower featuring over 1.7 million square feet of Class A office space that includes approximately 30,000 square feet of prominent retail space. Additionally, the building provides lower-level access to the tenant amenity center designed by David Rockwell, and direct access to Rockefeller Center, with its many upscale retail shops, fine dining establishments and subway connections. The building offers its tenants abundant natural light on all floors along with magnificent views of Central Park and other Midtown landmarks.",Office,,,,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314552,2026-07-22T19:05:46Z,,40.76187,-73.97985,https://cdn-paramount-group.reol.com/paramount_group/img/166c8b5b28ecfc05d6b0cdb19552de0fa6b3a331+720++0/paramountnyc_ewing_2960_05_31_22.jpg
Paramount Group,1325 Avenue of the Americas,1325 Avenue of the Americas,"Built in 1989, 1325 Avenue of the Americas is a thirty-four-story, approximately 825,000 square foot building that boasts a modern infrastructure and features a newly renovated lobby with 27’ ceiling heights featuring a gas burning fireplace and polished dark grey barry granite walls. The building’s highly efficient floor plate, column-free floors – which allow for up to eight corner offices per floor – and exceptional light attract a wide range of industries. The building’s attributes, including its location, distinguish 1325 as a premier address. The property is in one of the most dynamic office corridors in Manhattan and is within walking distance of eight subway lines and Rockefeller Center.",Office,Partial Floor 12,11996,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314553,2026-07-22T19:05:46Z,,40.76286,-73.98087,https://cdn-paramount-group.reol.com/paramount_group/img/7b6045aac25c43369b6378e4ba37ea5168f0638e+720++0/paramountnyc_ewing_3364_05_31_22.jpg
Paramount Group,1325 Avenue of the Americas,1325 Avenue of the Americas,"Built in 1989, 1325 Avenue of the Americas is a thirty-four-story, approximately 825,000 square foot building that boasts a modern infrastructure and features a newly renovated lobby with 27’ ceiling heights featuring a gas burning fireplace and polished dark grey barry granite walls. The building’s highly efficient floor plate, column-free floors – which allow for up to eight corner offices per floor – and exceptional light attract a wide range of industries. The building’s attributes, including its location, distinguish 1325 as a premier address. The property is in one of the most dynamic office corridors in Manhattan and is within walking distance of eight subway lines and Rockefeller Center.",Office,Partial Floor 17,4720,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314553,2026-07-22T19:05:46Z,,40.76286,-73.98087,https://cdn-paramount-group.reol.com/paramount_group/img/7b6045aac25c43369b6378e4ba37ea5168f0638e+720++0/paramountnyc_ewing_3364_05_31_22.jpg
Paramount Group,1325 Avenue of the Americas,1325 Avenue of the Americas,"Built in 1989, 1325 Avenue of the Americas is a thirty-four-story, approximately 825,000 square foot building that boasts a modern infrastructure and features a newly renovated lobby with 27’ ceiling heights featuring a gas burning fireplace and polished dark grey barry granite walls. The building’s highly efficient floor plate, column-free floors – which allow for up to eight corner offices per floor – and exceptional light attract a wide range of industries. The building’s attributes, including its location, distinguish 1325 as a premier address. The property is in one of the most dynamic office corridors in Manhattan and is within walking distance of eight subway lines and Rockefeller Center.",Office,Partial Floor 20,9621,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314553,2026-07-22T19:05:46Z,,40.76286,-73.98087,https://cdn-paramount-group.reol.com/paramount_group/img/7b6045aac25c43369b6378e4ba37ea5168f0638e+720++0/paramountnyc_ewing_3364_05_31_22.jpg
Paramount Group,1325 Avenue of the Americas,1325 Avenue of the Americas,"Built in 1989, 1325 Avenue of the Americas is a thirty-four-story, approximately 825,000 square foot building that boasts a modern infrastructure and features a newly renovated lobby with 27’ ceiling heights featuring a gas burning fireplace and polished dark grey barry granite walls. The building’s highly efficient floor plate, column-free floors – which allow for up to eight corner offices per floor – and exceptional light attract a wide range of industries. The building’s attributes, including its location, distinguish 1325 as a premier address. The property is in one of the most dynamic office corridors in Manhattan and is within walking distance of eight subway lines and Rockefeller Center.",Office,Entire Floor 22A,24909,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314553,2026-07-22T19:05:46Z,,40.76286,-73.98087,https://cdn-paramount-group.reol.com/paramount_group/img/7b6045aac25c43369b6378e4ba37ea5168f0638e+720++0/paramountnyc_ewing_3364_05_31_22.jpg
Paramount Group,1325 Avenue of the Americas,1325 Avenue of the Americas,"Built in 1989, 1325 Avenue of the Americas is a thirty-four-story, approximately 825,000 square foot building that boasts a modern infrastructure and features a newly renovated lobby with 27’ ceiling heights featuring a gas burning fireplace and polished dark grey barry granite walls. The building’s highly efficient floor plate, column-free floors – which allow for up to eight corner offices per floor – and exceptional light attract a wide range of industries. The building’s attributes, including its location, distinguish 1325 as a premier address. The property is in one of the most dynamic office corridors in Manhattan and is within walking distance of eight subway lines and Rockefeller Center.",Office,Partial Floor 25,5424,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314553,2026-07-22T19:05:46Z,,40.76286,-73.98087,https://cdn-paramount-group.reol.com/paramount_group/img/7b6045aac25c43369b6378e4ba37ea5168f0638e+720++0/paramountnyc_ewing_3364_05_31_22.jpg
Paramount Group,1633 Broadway,1633 Broadway,"From its premier location to the unencumbered panoramic views, 1633 Broadway offers state-of-the art office space for a wide variety of leading industries. The forty-eight-story, 2.5 million square foot building offers expansive and efficient floor plates that offer a dynamic experience for today’s most discerning tenant in an environment unmatched in Midtown’s Central Business District. The property has direct access to the New York subway systems and is surrounded by some of the most popular and widely recognized cultural, entertainment, and retail destinations worldwide.",Office,Entire Floor 6,50033,Upon request,Leasing,Peter Brindley,pbrindley@pgre.com,212.237.3156,https://www.pgre.com/properties/3314543,2026-07-22T19:05:46Z,,40.76214,-73.98437,https://cdn-paramount-group.reol.com/paramount_group/img/57c17c7360ea85b0a6b65e78e5995752a546e3ee+720++0/paramountsf_ewing_4509_05_31_22.jpg
