landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
Sage Realty,2 Gansevoort Street,"2 Gansevoort Street, New York, NY, USA","pre-existing space, immediate availability",Office,"Partial floor 1, Suite 0102",12028,Upon request,Leasing,Michael Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/2-gansevoort-street-0102,2026-07-22T19:12:55Z,,40.7392568,-74.0040549,https://sagerealty.com/wp-content/uploads/2022/03/2-gansevoort-street-sage-offices-nyc-thumb-02.jpg
Sage Realty,437 Madison Avenue,"27 E 49th St, New York, NY 10017, USA","raw space, immediate availability",Retail,"Partial floor 1, Suite 0106",4104,Upon request,Leasing,Michael Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/437-madison-avenue-0106,2026-07-22T19:12:55Z,,40.75721514269845,-73.97561900926208,https://sagerealty.com/wp-content/uploads/2024/08/437hero.png
Sage Realty,437 Madison Avenue,"27 E 49th St, New York, NY 10017, USA","pre-existing space, specified availability",Office,"Partial floor 27, Suite 2703",8632,Upon request,Leasing,Michael Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/437-madison-avenue-2703,2026-07-22T19:12:55Z,,40.75721514269845,-73.97561900926208,https://sagerealty.com/wp-content/uploads/2024/08/437hero.png
Sage Realty,437 Madison Avenue,"27 E 49th St, New York, NY 10017, USA","2nd generation space, specified availability",Office,"Partial floor 28, Suite 2803",8040,Upon request,Leasing,Michael Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/437-madison-avenue-2803,2026-07-22T19:12:55Z,,40.75721514269845,-73.97561900926208,https://sagerealty.com/wp-content/uploads/2024/08/437hero.png
Sage Realty,437 Madison Avenue,"27 E 49th St, New York, NY 10017, USA","pre-existing space, immediate availability",Office,"Partial floor 32, Suite 3203",3816,Upon request,Leasing,Michael Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/437-madison-avenue-3203,2026-07-22T19:12:55Z,,40.75721514269845,-73.97561900926208,https://sagerealty.com/wp-content/uploads/2024/08/437hero.png
Sage Realty,437 Madison Avenue,"27 E 49th St, New York, NY 10017, USA","white box space, immediate availability",Office,"Partial floor 34, Suite 3402",12672,Upon request,Leasing,Michael Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/437-madison-avenue-3402,2026-07-22T19:12:55Z,,40.75721514269845,-73.97561900926208,https://sagerealty.com/wp-content/uploads/2024/08/437hero.png
Sage Realty,747 Third Avenue,"747 3rd Ave, New York, NY 10017, USA","pre-existing space, immediate availability",Retail,"Partial floor 1, Suite 0102",5253,Upon request,Leasing,Michael  Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/747-third-avenue-0102,2026-07-22T19:12:55Z,,40.7534846,-73.9720523,https://sagerealty.com/wp-content/uploads/2022/03/747-third-avenue-sage-offices-nyc-thumb-01-1.jpg
Sage Realty,747 Third Avenue,"747 3rd Ave, New York, NY 10017, USA","pre-built space, immediate availability",Office,"Partial floor 10, Suite 1001",7931,Upon request,Leasing,Michael  Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/747-third-avenue-1001,2026-07-22T19:12:55Z,,40.7534846,-73.9720523,https://sagerealty.com/wp-content/uploads/2022/03/747-third-avenue-sage-offices-nyc-thumb-01-1.jpg
Sage Realty,747 Third Avenue,"747 3rd Ave, New York, NY 10017, USA","raw space, immediate availability",Office,"Entire floor 38, Suite 3800",12058,Upon request,Leasing,Michael  Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/747-third-avenue-3800,2026-07-22T19:12:55Z,,40.7534846,-73.9720523,https://sagerealty.com/wp-content/uploads/2022/03/747-third-avenue-sage-offices-nyc-thumb-01-1.jpg
Sage Realty,777 Third Avenue,"777 3rd Ave, New York, NY 10017, USA","pre-existing space, immediate availability",Office,"Entire floor 7, Suite 0700",24832,Upon request,Leasing,Michael Lenchner,mlenchner@sagerealty.com,+1 212 758 0437,https://sagerealty.com/availabilities/777-third-avenue-0700,2026-07-22T19:12:55Z,,40.754576718862495,-73.97132461230316,https://sagerealty.com/wp-content/uploads/2022/03/777-third-avenue-sage-offices-nyc-thumb-02.jpg
