landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng,image_url
George Comfort & Sons,498 Seventh Avenue,"498 Seventh Avenue, New York, NY 10018",IMMEDIATE availability,Office,21(2100),30289,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/498-seventh-avenue/,2026-07-22T21:00:22Z,,40.7527484631545,-73.99127733318808,https://www.gcomfort.com/wp-content/uploads/2022/02/498-Seventh-Avenue.png
George Comfort & Sons,63 Madison Avenue,"63 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,Ground Floor,10890,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/63-madison-avenue/,2026-07-22T21:00:22Z,,40.74349627932847,-73.98772658459407,https://www.gcomfort.com/wp-content/uploads/2022/03/22KCJP_28E28_Bldg-15-Dusk-ret2-12-1.jpg
George Comfort & Sons,63 Madison Avenue,"63 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,14(14N),18960,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/63-madison-avenue/,2026-07-22T21:00:22Z,,40.74349627932847,-73.98772658459407,https://www.gcomfort.com/wp-content/uploads/2022/03/22KCJP_28E28_Bldg-15-Dusk-ret2-12-1.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Retail,Ground,1769,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,2(200),50848,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,3(300),50976,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,4(400),51023,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,5(500),50950,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,6(600),51071,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,7(700),51217,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,8(800),51424,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,12(1210),10049,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,14(1400),18806,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,15(1500),18806,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,16(1600),18806,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,200 Madison Avenue,"200 Madison Avenue, New York, NY 10016",IMMEDIATE availability,Office,17(1700),18788,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/200-madison-avenue/,2026-07-22T21:00:22Z,,40.74913797932792,-73.98478198459391,https://www.gcomfort.com/wp-content/uploads/2022/03/200_Madison_WEB-1-e1750874294792.jpg
George Comfort & Sons,307 West 38th Street,"307 West 38th Street, New York, NY 10018",IMMEDIATE availability,Office,11(1105),5091,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/307-west-38th-street/,2026-07-22T21:00:22Z,,40.75513157932733,-73.99454368459368,https://www.gcomfort.com/wp-content/uploads/2022/03/307-West-38th-Street.png
George Comfort & Sons,307 West 38th Street,"307 West 38th Street, New York, NY 10018",IMMEDIATE availability,Office,12(1200),14429,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/307-west-38th-street/,2026-07-22T21:00:22Z,,40.75513157932733,-73.99454368459368,https://www.gcomfort.com/wp-content/uploads/2022/03/307-West-38th-Street.png
George Comfort & Sons,307 West 38th Street,"307 West 38th Street, New York, NY 10018",IMMEDIATE availability,Office,13(1305),4674,Upon request,Leasing,Alexander N. Bermingham,abermingham@gcomfort.com,212.542.2189,https://www.gcomfort.com/portfolio-items/307-west-38th-street/,2026-07-22T21:00:22Z,,40.75513157932733,-73.99454368459368,https://www.gcomfort.com/wp-content/uploads/2022/03/307-West-38th-Street.png
