landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 43,18475,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 42,18476,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 41,18476,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 40,18595,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 37,18638,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 33,27936,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 32,28002,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 31,27939,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 30,27939,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
GFP Real Estate,1540 Broadway,1540 Broadway,"Rising 44 floors above Midtown Manhattan, 1540 Broadway offers 900,000 square feet of premium office space reimagined for today's businesses. A $150 million capital program has transformed the building from the ground up — delivering a redesigned lobby, new elevators, and a suite of hospitality-inspired amenities that draw on the warmth of luxury residential design, with natural materials, rich tones, and spaces purpose-built for collaboration and culture. Tenants benefit from light-filled, flexible floor plates alongside an on-site bar, fine dining, grab-and-go dining, and outdoor terrace space — an elevated work environment well beyond the typical Midtown offering. With Fortune 500 neighbors including NewsCorp, Salesforce, and Microsoft, and some of the city's best transit connections just steps away, 1540 Broadway positions businesses at the center of New York's commercial, cultural, and creative life.",Office,Floor 29,27938,Upon request,Asset / Leasing Manager,Allen J. Gurevich,agurevich@gfpre.com,(212) 609.7141,https://www.gfpre.com/properties/1540-broadway,2026-07-20T21:41:48+00:00
