landlord,building_name,address,description,space_type,floor_suite,size_sqft,rent,contact_role,contact_name,contact_email,contact_phone,source_url,scraped_at,neighborhood,lat,lng
Rudin Management,41 Madison Avenue,41 Madison Avenue,"This Madison Square Park-adjacent tower has a renovated light-filled lobby, lounge, and event space. Floor plates range from 12,000 to 17,000 SF, showcase views of Chelsea, Midtown, and the Hudson and East rivers, and offer amazing access to restaurants, parks, and transit, allowing productivity and your team to thrive. Discover available office spaces at 41 Madison Avenue, featuring flexible layouts, modern infrastructure, and a prime Madison Square Park location.",Office,"Partial 36th Floor, Suite 3620",5087,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/41-madison-avenue,2026-07-20T08:57:45+00:00,Midtown South,40.74258898062998,-73.98640264446428
Rudin Management,641 Lexington Avenue,641 Lexington Avenue,"641 Lexington Avenue was designed by Emery Roth & Sons and opened in 1964. The building offers excellent natural light, views across Midtown, floor plates from 7,000 to 32,000 SF, and private terraces on select floors. Discover available office spaces at 641 Lexington Avenue, featuring flexible layouts, modern infrastructure, and a prime Midtown location at the center of New York City.",Office,"Entire 28th Floor, Suite 2800",6690,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/641-lexington-avenue,2026-07-20T08:57:45+00:00,Midtown,40.759003605052044,-73.96970608748103
Rudin Management,32 Avenue of the Americas,32 Avenue of the Americas,"Featuring a landmarked façade and lobby with mosaic murals, this stunning and historic Tribeca Art Deco tower sits at the intersection of business, commerce, and lifestyle. Offering floor plates from 25,000 to 52,000 SF, in-building subway access, and unmatched views of the Empire State Building, Midtown, and the Hudson and East Rivers. Discover available office spaces at 32 Avenue of the Americas, featuring flexible layouts, modern infrastructure, and a prime Tribeca location.",Office,"Entire 25th Floor, Suite 2500",27258,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/32-avenue-americas,2026-07-20T08:57:45+00:00,Midtown South,40.72003139777414,-74.0042846
Rudin Management,One Battery Park Plaza,One Battery Park Plaza,"Occupying a prominent position in Lower Manhattan’s iconic skyline, this building has 28,000 SF floor plates, with sweeping views of Battery Park, New York Harbor, the Statue of Liberty, and Ellis Island. Adjacent to the 25-acre Battery Park, it offers a tranquil sanctuary for tenants and their guests amidst the city’s vibrant energy. Discover available office spaces at One Battery Park Plaza, featuring flexible layouts, modern infrastructure, and a prime Financial District location.",Office,"Partial 25th Floor, Suite 2510",13001,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/one-battery-park-plaza,2026-07-20T08:57:45+00:00,Downtown,40.70357910825007,-74.01381723183475
Rudin Management,32 Avenue of the Americas,32 Avenue of the Americas,"Featuring a landmarked façade and lobby with mosaic murals, this stunning and historic Tribeca Art Deco tower sits at the intersection of business, commerce, and lifestyle. Offering floor plates from 25,000 to 52,000 SF, in-building subway access, and unmatched views of the Empire State Building, Midtown, and the Hudson and East Rivers. Discover available office spaces at 32 Avenue of the Americas, featuring flexible layouts, modern infrastructure, and a prime Tribeca location.",Office,"Partial 24th Floor, Suite 2420",6695,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/32-avenue-americas,2026-07-20T08:57:45+00:00,Midtown South,40.72003139777414,-74.0042846
Rudin Management,3 Times Square,3 Times Square,"With floor plates ranging from 28,000 to 35,000 SF, spaces are column-free and offer generous ceiling heights and views overlooking Midtown and the Hudson River. Enjoy a dedicated amenity floor, tech-enabled meeting space, tenant-exclusive gym, and unmatched electronic signage and branding opportunities. Discover available office spaces at 3 Times Square, featuring flexible layouts, modern infrastructure, and a prime Midtown location at the center of New York City.",Office,"Partial 24th Floor, Suite 2400",10175,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/3-times-square,2026-07-20T08:57:45+00:00,Midtown,40.756561,
Rudin Management,3 Times Square,3 Times Square,"With floor plates ranging from 28,000 to 35,000 SF, spaces are column-free and offer generous ceiling heights and views overlooking Midtown and the Hudson River. Enjoy a dedicated amenity floor, tech-enabled meeting space, tenant-exclusive gym, and unmatched electronic signage and branding opportunities. Discover available office spaces at 3 Times Square, featuring flexible layouts, modern infrastructure, and a prime Midtown location at the center of New York City.",Office,"Entire 23rd Floor, Suite 2300",27924,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/3-times-square,2026-07-20T08:57:45+00:00,Midtown,40.756561,
Rudin Management,3 Times Square,3 Times Square,"With floor plates ranging from 28,000 to 35,000 SF, spaces are column-free and offer generous ceiling heights and views overlooking Midtown and the Hudson River. Enjoy a dedicated amenity floor, tech-enabled meeting space, tenant-exclusive gym, and unmatched electronic signage and branding opportunities. Discover available office spaces at 3 Times Square, featuring flexible layouts, modern infrastructure, and a prime Midtown location at the center of New York City.",Office,"Entire 22nd Floor, Suite 2200",27924,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/3-times-square,2026-07-20T08:57:45+00:00,Midtown,40.756561,
Rudin Management,32 Avenue of the Americas,32 Avenue of the Americas,"Featuring a landmarked façade and lobby with mosaic murals, this stunning and historic Tribeca Art Deco tower sits at the intersection of business, commerce, and lifestyle. Offering floor plates from 25,000 to 52,000 SF, in-building subway access, and unmatched views of the Empire State Building, Midtown, and the Hudson and East Rivers. Discover available office spaces at 32 Avenue of the Americas, featuring flexible layouts, modern infrastructure, and a prime Tribeca location.",Office,"Partial 21st Floor, Suite 2110",9088,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/32-avenue-americas,2026-07-20T08:57:45+00:00,Midtown South,40.72003139777414,-74.0042846
Rudin Management,3 Times Square,3 Times Square,"With floor plates ranging from 28,000 to 35,000 SF, spaces are column-free and offer generous ceiling heights and views overlooking Midtown and the Hudson River. Enjoy a dedicated amenity floor, tech-enabled meeting space, tenant-exclusive gym, and unmatched electronic signage and branding opportunities. Discover available office spaces at 3 Times Square, featuring flexible layouts, modern infrastructure, and a prime Midtown location at the center of New York City.",Office,"Entire 21st Floor, Suite 2100",29852,,Leasing inquiry (web form),Rudin Leasing,,,https://www.rudin.com/properties/office-spaces/3-times-square,2026-07-20T08:57:45+00:00,Midtown,40.756561,
